ID,ptLTL,Generated ptLTL,Equivalence Check
classifier_assumption,(H (((classifier = 0) xor (classifier = 1)) xor (classifier = 2))),H ((Classifier = 0) ∨ (Classifier = 1) ∨ (Classifier = 2)),False
dtt assumption,(H ((! (classifier = 0)) -> (distance_to_target >= 0))),H((Classifier ≠ 0) → (distance_to_target ≥ 0)),True
operationalstate_0,(H ((OpState = 0) -> ((((! slowdown) & (! halt)) & (! alert)) & (! turnoffUVC)))),\( H \big( (OpState = 0) \rightarrow (\neg Slowdown \wedge \neg Halt \wedge \neg Alert \wedge \neg TurnoffUVC) \big) \),True
operationalstate_1,(H ((OpState = 1) -> ((((! slowdown) & (! halt)) & alert) & (! turnoffUVC)))),\( (OpState = 1) \rightarrow (Alert \wedge \neg Slowdown \wedge \neg Halt \wedge \neg TurnoffUVC) \),False
operationalstate_2,(H ((OpState = 2) -> (((slowdown & (! halt)) & alert) & (! turnoffUVC)))),H((OpState = 2) → (Slowdown ∧ Alert ∧ ¬Halt ∧ ¬TurnoffUVC)),True
operationalstate_3,(H ((OpState = 3) -> ((((! slowdown) & halt) & alert) & turnoffUVC))),H( (OpState = 3) → (Halt ∧ TurnoffUVC ∧ ¬Slowdown ∧ ¬Alert) ),False
state_req000,(H ((classifier = 0) -> (OpState = 0))),\( \text{H}(\text{Classifier} = 0 \rightarrow \text{OpState} = 0) \),True
state_req101,(H ((classifier = 1) -> (dgt_7 -> (OpState = 1)))),"\[
(\text{Classifier}=1 \wedge \text{dgt\_7}) \rightarrow (\text{OpState}=1)
\]",False
state_req102,(H ((classifier = 1) -> (((! dgt_7) & dgt_3) -> (OpState = 2)))),"\[
((Classifier = 1) \land dgt\_7 \land \lnot dgt\_3) \rightarrow (OpState = 2)
\]",False
state_req103,(H ((classifier = 1) -> ((! dgt_3) -> (OpState = 3)))),H((Classifier = 1 ∧ dgt_3) → (OpState = 3)),False
state_req201,(H ((classifier = 2) -> (dgt_7 -> (OpState = 2)))),\[(Classifier = 2 \land dgt\_7) \; S \; (OpState = 2)\],False
state_req202,(H ((classifier = 2) -> (((! dgt_7) & dgt_3) -> (OpState = 3)))),"\[
(\text{OpState} = 3) \; S \; ((\text{Classifier} = 2) \land dgt\_7 \land \lnot dgt\_3)
\]",False
state_req203,(H ((classifier = 2) -> ((! dgt_3) -> (OpState = 3)))),H((Classifier = 2 ∧ dgt_3) → (OpState = 3)),False
